Problem                  N    Best metric      Known       Diff Status
20_3_in_circle           20     2.535701   1.874000  +0.661701 worse_than_best_known
20_4_in_3                20     7.618907   7.616950  +0.001957 worse_than_best_known
20_6_in_4                20     7.953493   7.948000  +0.005493 worse_than_best_known
21_3_in_3                21     4.933947   4.923000  +0.010947 worse_than_best_known
21_3_in_4                21     3.646231   3.311020  +0.335211 worse_than_best_known
21_3_in_5                21     3.028811   2.479000  +0.549811 worse_than_best_known
21_3_in_circle           21     2.603523   1.910000  +0.693523 worse_than_best_known
21_4_in_3                21     7.623675   7.618000  +0.005675 worse_than_best_known
21_6_in_4                21     8.388806   8.381000  +0.007806 worse_than_best_known
22_3_in_3                22     5.000068   4.996000  +0.004068 worse_than_best_known
22_3_in_4                22     3.735776   3.375700  +0.360076 worse_than_best_known
22_3_in_5                22     3.109569   2.567400  +0.542169 worse_than_best_known
22_3_in_circle           22     2.672851   1.943000  +0.729851 worse_than_best_known
22_4_in_3                22     8.154848   8.152590  +0.002258 worse_than_best_known
22_6_in_4                22     8.571859   8.568000  +0.003859 worse_than_best_known
23_3_in_4                23     3.824427   3.431100  +0.393327 worse_than_best_known
23_3_in_5                23     3.174309   2.618250  +0.556059 worse_than_best_known
23_3_in_circle           23     2.722962   1.984670  +0.738292 worse_than_best_known
23_4_in_3                23     8.315893   8.301000  +0.014893 worse_than_best_known
23_6_in_4                23     8.660258   8.660000  +0.000258 worse_than_best_known
24_3_in_4                24     3.906056   3.467800  +0.438256 worse_than_best_known
24_3_in_5                24     3.253077   2.666410  +0.586667 worse_than_best_known
24_4_in_3                24     8.465628   8.309000  +0.156628 worse_than_best_known
24_6_in_4                24     8.796581   8.795000  +0.001581 worse_than_best_known
25_3_in_4                25     4.002890   3.537000  +0.465890 worse_than_best_known
25_3_in_5                25     3.324239   2.718600  +0.605639 worse_than_best_known
25_3_in_circle           25     2.838984   2.055000  +0.783984 worse_than_best_known
25_4_in_3                25     8.545164   8.464000  +0.081164 worse_than_best_known
25_6_in_4                25     9.073586   9.065000  +0.008586 worse_than_best_known
26_3_in_3                26     5.446783   5.406000  +0.040783 worse_than_best_known
26_3_in_4                26     4.090145   3.575000  +0.515145 worse_than_best_known
26_3_in_5                26     3.388884   2.768650  +0.620234 worse_than_best_known
26_3_in_circle           26     2.893388   2.106650  +0.786738 worse_than_best_known
26_4_in_3                26     8.625701   8.618000  +0.007701 worse_than_best_known
26_6_in_4                26     9.230961   9.220830  +0.010131 worse_than_best_known
27_3_in_3                27     5.501566   5.500000  +0.001566 worse_than_best_known
27_3_in_4                27     4.158858   3.672600  +0.486258 worse_than_best_known
27_3_in_5                27     3.477261   2.817410  +0.659851 worse_than_best_known
27_3_in_circle           27     2.972281   2.138000  +0.834281 worse_than_best_known
27_4_in_3                27     8.710055   8.618000  +0.092055 worse_than_best_known
27_6_in_4                27     9.340448   9.277330  +0.063118 worse_than_best_known
28_3_in_4                28     4.251144   3.757070  +0.494074 worse_than_best_known
28_3_in_5                28     3.537554   2.866360  +0.671194 worse_than_best_known
28_3_in_circle           28     3.023943   2.188060  +0.835883 worse_than_best_known
28_4_in_3                28     8.778031   8.773000  +0.005031 worse_than_best_known
29_3_in_3                29     5.750775   5.666000  +0.084775 worse_than_best_known
29_3_in_4                29     4.319558   3.817110  +0.502448 worse_than_best_known
29_3_in_5                29     3.596847   2.902400  +0.694447 worse_than_best_known
29_3_in_circle           29     3.080387   2.209350  +0.871037 worse_than_best_known
29_4_in_3                29     9.155322   9.154000  +0.001322 worse_than_best_known
2_6_in_5                 2      2.465912   2.465900  +0.000012 matches_best_known
2_8_in_5                 2      3.356072   3.356050  +0.000022 matches_best_known
2_DOMINO_in_4            2      2.000000   2.000000  +0.000000 matches_best_known
2_L_in_6                 2      1.862143   1.861210  +0.000933 worse_than_best_known
30_3_in_3                30     5.909525   5.750000  +0.159525 worse_than_best_known
30_3_in_4                30     4.410033   3.866190  +0.543843 worse_than_best_known
30_3_in_5                30     3.670157   2.950140  +0.720017 worse_than_best_known
30_3_in_circle           30     3.138736   2.251270  +0.887466 worse_than_best_known
30_4_in_3                30     9.315449   9.301000  +0.014449 worse_than_best_known
31_3_in_3                31     5.952282   5.907660  +0.044622 worse_than_best_known
31_3_in_4                31     4.495776   3.931070  +0.564706 worse_than_best_known
31_3_in_5                31     3.730524   2.983660  +0.746864 worse_than_best_known
31_3_in_circle           31     3.186690   2.272000  +0.914690 worse_than_best_known
31_4_in_3                31     9.469128   9.309000  +0.160128 worse_than_best_known
32_3_in_3                32     6.000045   5.945930  +0.054115 worse_than_best_known
32_3_in_4                32     4.556799   3.978800  +0.577999 worse_than_best_known
32_3_in_5                32     3.797879   3.026860  +0.771019 worse_than_best_known
32_4_in_3                32     9.622120   9.464000  +0.158120 worse_than_best_known
33_3_in_3                33     6.000571   5.997590  +0.002981 worse_than_best_known
33_3_in_4                33     4.638922   4.051640  +0.587282 worse_than_best_known
33_3_in_5                33     3.860513   3.065830  +0.794683 worse_than_best_known
33_4_in_3                33     9.629780   9.618000  +0.011780 worse_than_best_known
34_3_in_4                34     4.702648   4.090880  +0.611768 worse_than_best_known
34_3_in_5                34     3.920429   3.110730  +0.809699 worse_than_best_known
34_4_in_3                34     9.781118   9.618000  +0.163118 worse_than_best_known
35_3_in_4                35     4.786408   4.141230  +0.645178 worse_than_best_known
35_3_in_5                35     3.983452   3.148430  +0.835022 worse_than_best_known
35_4_in_3                35     9.877529   9.773000  +0.104529 worse_than_best_known
36_3_in_4                36     4.855208   4.207910  +0.647298 worse_than_best_known
36_3_in_5                36     4.043938   3.174730  +0.869208 worse_than_best_known
36_4_in_3                36     9.932988   9.773000  +0.159988 worse_than_best_known
37_3_in_3                37     6.481809   6.333000  +0.148809 worse_than_best_known
37_3_in_4                37     4.932627   4.268800  +0.663827 worse_than_best_known
37_3_in_5                37     4.092639   3.211200  +0.881439 worse_than_best_known
37_4_in_3                37    10.155495  10.152990  +0.002505 worse_than_best_known
38_3_in_3                38     6.659767   6.428230  +0.231537 worse_than_best_known
38_3_in_4                38     4.977483   4.320180  +0.657303 worse_than_best_known
38_3_in_5                38     4.144708   3.248510  +0.896198 worse_than_best_known
38_4_in_3                38    10.309697  10.304000  +0.005697 worse_than_best_known
39_3_in_3                39     6.812285   6.500000  +0.312285 worse_than_best_known
39_3_in_4                39     5.062733   4.367920  +0.694813 worse_than_best_known
39_3_in_5                39     4.217627   3.292190  +0.925437 worse_than_best_known
39_4_in_3                39    10.475845  10.309400  +0.166445 worse_than_best_known
3_3_in_4                 3      1.478398   1.478000  +0.000398 worse_than_best_known
3_3_in_5                 3      1.143530   1.143000  +0.000530 worse_than_best_known
3_3_in_L                 3      0.522694   0.866020  -0.343326 NEW_BEST
3_3_in_circle            3      0.969821   0.953000  +0.016821 worse_than_best_known
3_4_in_3                 3      3.232052   3.232000  +0.000052 matches_best_known
3_6_in_4                 3      3.491959   3.491000  +0.000959 worse_than_best_known
3_6_in_5                 3      2.742826   2.742800  +0.000026 matches_best_known
3_6_in_8                 3      1.606452   1.606400  +0.000052 matches_best_known
3_8_in_5                 3      3.744132   3.744110  +0.000022 matches_best_known
3_DOMINO_in_4            3      3.003848   3.000000  +0.003848 worse_than_best_known
3_L_in_4                 3      3.621594   3.621000  +0.000594 worse_than_best_known
40_3_in_4                40     5.126519   4.410580  +0.715939 worse_than_best_known
40_3_in_5                40     4.262546   3.326050  +0.936496 worse_than_best_known
40_4_in_3                40    10.618864  10.464100  +0.154764 worse_than_best_known
41_3_in_3                41     6.864964   6.666000  +0.198964 worse_than_best_known
41_3_in_4                41     5.200824   4.464460  +0.736364 worse_than_best_known
41_3_in_5                41     4.316813   3.367400  +0.949413 worse_than_best_known
41_4_in_3                41    10.710295  10.618800  +0.091495 worse_than_best_known
42_3_in_3                42     6.941599   6.750000  +0.191599 worse_than_best_known
42_3_in_4                42     5.260708   4.511770  +0.748938 worse_than_best_known
42_3_in_5                42     4.382322   3.425050  +0.957272 worse_than_best_known
42_4_in_3                42    10.704534  10.618800  +0.085734 worse_than_best_known
43_3_in_3                43     6.993288   6.800000  +0.193288 worse_than_best_known
43_3_in_4                43     5.352984   4.550350  +0.802634 worse_than_best_known
43_3_in_5                43     4.437767   3.464330  +0.973437 worse_than_best_known
43_4_in_3                43    10.916089  10.773500  +0.142589 worse_than_best_known
44_3_in_3                44     7.003878   6.930760  +0.073118 worse_than_best_known
44_3_in_4                44     5.406674   4.600230  +0.806444 worse_than_best_known
44_3_in_5                44     4.467286   3.521400  +0.945886 worse_than_best_known
45_3_in_3                45     7.143501   6.959220  +0.184281 worse_than_best_known
45_3_in_4                45     5.484973   4.677490  +0.807483 worse_than_best_known
45_3_in_5                45     4.561133   3.512610  +1.048523 worse_than_best_known
46_3_in_3                46     7.342112   6.998370  +0.343742 worse_than_best_known
46_3_in_4                46     5.553454   4.729650  +0.823804 worse_than_best_known
46_3_in_5                46     4.594566   3.614910  +0.979656 worse_than_best_known
47_3_in_4                47     5.563590   4.782040  +0.781550 worse_than_best_known
47_3_in_5                47     4.674215   3.658790  +1.015425 worse_than_best_known
48_3_in_4                48     5.695072   4.826320  +0.868752 worse_than_best_known
48_3_in_5                48     4.707343   3.676050  +1.031293 worse_than_best_known
49_3_in_5                49     4.789411   3.722960  +1.066451 worse_than_best_known
4_3_in_4                 4      1.583711   1.577000  +0.006711 worse_than_best_known
4_3_in_5                 4      1.199330   1.199000  +0.000330 worse_than_best_known
4_3_in_8                 4      0.857098   0.777310  +0.079788 worse_than_best_known
4_3_in_circle            4      1.119732   0.980000  +0.139732 worse_than_best_known
4_4_in_3                 4      4.154708   4.154000  +0.000708 worse_than_best_known
4_6_in_4                 4      3.725003   3.725000  +0.000003 matches_best_known
4_6_in_5                 4      3.015220   3.015200  +0.000020 matches_best_known
4_6_in_8                 4      1.756284   1.756300  -0.000016 NEW_BEST
4_8_in_5                 4      4.101261   4.101250  +0.000011 matches_best_known
4_CIRCLE_in_4            4      3.980842   4.000000  -0.019158 NEW_BEST
50_3_in_3                50     7.740358   7.327320  +0.413038 worse_than_best_known
50_3_in_5                50     4.827466   3.759880  +1.067586 worse_than_best_known
5_3_in_4                 5      1.803317   1.803000  +0.000317 worse_than_best_known
5_3_in_5                 5      1.471713   1.240000  +0.231713 worse_than_best_known
5_3_in_DOMINO            5      1.803252   1.263150  +0.540102 worse_than_best_known
5_4_in_3                 5      4.309410   4.309000  +0.000410 worse_than_best_known
5_4_in_5                 5      1.951258   1.951000  +0.000258 worse_than_best_known
5_6_in_4                 5      4.437844   4.437000  +0.000844 worse_than_best_known
5_6_in_5                 5      3.220483   3.219700  +0.000783 worse_than_best_known
5_6_in_6                 5      2.666628   2.667000  -0.000372 NEW_BEST
5_6_in_8                 5      1.987077   1.987100  -0.000023 NEW_BEST
5_8_in_5                 5      4.338172   4.333000  +0.005172 worse_than_best_known
5_DOMINO_in_4            5      4.000419   3.767800  +0.232619 worse_than_best_known
5_DOMINO_in_DOMINO       5      3.768179   2.500000  +1.268179 worse_than_best_known
5_TAN_in_4               5      3.066843   1.788000  +1.278843 worse_than_best_known
6_3_in_3                 6      2.977160   2.977000  +0.000160 worse_than_best_known
6_3_in_4                 6      1.940316   1.901000  +0.039316 worse_than_best_known
6_3_in_5                 6      1.612133   1.393000  +0.219133 worse_than_best_known
6_4_in_3                 6      4.309500   4.309000  +0.000500 worse_than_best_known
6_4_in_5                 6      2.185519   2.185000  +0.000519 worse_than_best_known
6_4_in_8                 6      1.343157   1.343140  +0.000017 matches_best_known
6_5_in_4                 6      3.883025   3.882990  +0.000035 matches_best_known
6_5_in_6                 6      2.322941   2.322900  +0.000041 matches_best_known
6_6_in_4                 6      4.813853   4.813000  +0.000853 worse_than_best_known
6_6_in_5                 6      3.551444   3.549500  +0.001944 worse_than_best_known
6_6_in_8                 6      2.164364   2.164400  -0.000036 NEW_BEST
6_8_in_5                 6      4.770573   4.770070  +0.000503 worse_than_best_known
7_3_in_4                 7      2.095053   2.000000  +0.095053 worse_than_best_known
7_3_in_5                 7      1.741302   1.581000  +0.160302 worse_than_best_known
7_3_in_circle            7      1.481440   1.152000  +0.329440 worse_than_best_known
7_4_in_3                 7      5.154704   5.154000  +0.000704 worse_than_best_known
7_4_in_5                 7      2.421634   2.421000  +0.000634 worse_than_best_known
7_4_in_8                 7      1.436899   1.436900  -0.000001 NEW_BEST
